movie_id,movie_title,franchise,release_year,release_date,decade,movie_type,genre,sub_genre,runtime_minutes,rating,language,country,director,producer,composer,lead_actor,lead_actress,animation_type,studio,budget_million_usd,box_office_million_usd,production_cost_million_usd,marketing_cost_million_usd,opening_weekend_million_usd,domestic_box_office_million_usd,international_box_office_million_usd,roi_percent,imdb_rating,rotten_tomatoes_score,metacritic_score,audience_score,cinemas_released,streaming_platform,streaming_release_date,disney_plus_available,awards_won,oscar_nominations,oscar_wins,soundtrack_popularity,number_of_songs,has_post_credit_scene,villain_name,main_character,princess_movie,animal_sidekick,magic_theme,musical,family_friendly,based_on_book,based_on_true_story,remake,sequel,prequel,cinematic_universe,target_age_group,merchandise_sales_million_usd,theme_park_attraction,theme_park_name,video_game_adaptation,mobile_game_available,global_popularity_index,fan_rating,critic_rating,rewatchability_score,cultural_impact_score,social_media_mentions_million,search_popularity,holiday_release,summer_release,streaming_hours_million,home_media_sales_million,inflation_adjusted_box_office_million,profit_million,profit_category,success_category
DIS00001,Kingdom of Wonders: Chronicles,Kingdom of Wonders,1944,1944-09-06,1940s,Live Action,Comedy,Fairy Tale,72,PG,English,USA,Marc Webb,Jared Bush,Alan Menken,Chris Evans,Kristen Bell,None,Marvel Studios,439.2,2792.5,340.7,137.3,484.0,1452.7,1339.8,484.2,6.9,71,65,62,868,Disney+,1945-05-12,Yes,2,0,0,48,0,Yes,Maleficent,Tarzan,No,No,Yes,No,Yes,No,Yes,No,Yes,No,Marvel Cinematic Universe,Everyone,115.1,Yes,Disney's Animal Kingdom,Yes,No,100.0,7.5,6.9,9.5,9.3,21.43,100,No,No,69.3,488.4,8517.1,2314.5,Massive Profit,Blockbuster
DIS00002,The Golden Dreams: Rises,The Golden Dreams,2025,2025-06-22,2020s,Live Action,Action,Heist,170,G,English,Canada,Jennifer Lee,Kathleen Kennedy,Lin-Manuel Miranda,Tom Holland,Angelina Jolie,None,Disneytoon Studios,133.3,303.9,105.3,26.9,31.1,113.8,190.1,129.9,5.2,35,37,41,2049,Disney+ Hotstar,2025-09-02,Yes,0,0,0,47,5,No,Scar,Stitch,No,No,No,Yes,Yes,No,No,No,No,No,None,Kids,35.7,No,None,No,No,22.9,5.1,3.8,2.1,1.3,3.02,16,No,Yes,12.9,45.4,311.5,171.7,High Profit,Hit
DIS00003,Adventures of Stardust,Adventures of Stardust,1974,1974-05-12,1970s,Remake,Musical,Time Travel,166,PG-13,English,USA,Chris Buck,Kevin Feige,Randy Newman,Johnny Depp,Kristen Bell,3D CGI,Pixar Animation Studios,15.1,10.7,12.7,3.6,0.8,5.1,5.6,-34.4,7.3,73,66,69,3234,Disney+,1975-02-10,Yes,0,0,0,51,8,No,Dr. Facilier,Bob Parr,No,No,Yes,Yes,No,No,No,Yes,No,No,None,Family,30.3,No,None,No,No,23.7,7.0,7.2,3.2,1.0,3.72,26,No,No,25.4,1.8,24.6,-5.6,Loss,Flop
DIS00004,The Magic the North: Beyond,The Magic the North,1947,1947-02-16,1940s,Short Film,Musical,Buddy Comedy,72,PG,English,USA,Rich Moore,Osnat Shurer,Lin-Manuel Miranda,Johnny Depp,Zoe Saldana,3D CGI,Disneytoon Studios,42.6,40.3,36.2,12.0,3.5,24.2,16.1,-16.4,5.5,37,38,47,3099,Theatrical Only,,No,0,0,0,78,9,Yes,Scar,Merida,Yes,No,No,Yes,Yes,Yes,No,No,No,No,None,Kids,35.5,No,None,No,No,11.7,4.9,3.8,1.0,1.0,2.38,11,No,No,0.0,7.4,119.9,-7.9,Loss,Average
DIS00005,Big Hero 6,Standalone,1997,1997-09-04,1990s,Pixar,Action,Road Trip,96,G,Hindi,Canada,Pete Docter,Osnat Shurer,Lin-Manuel Miranda,Robert Downey Jr.,Lily James,3D CGI,Lucasfilm,298.4,1055.5,230.2,128.0,77.3,601.0,454.5,194.7,6.0,66,45,60,4352,Disney+,1998-02-18,Yes,0,1,0,43,0,No,Chernabog,Troy Bolton,No,No,No,No,Yes,No,No,No,No,No,None,Everyone,156.6,No,None,Yes,No,55.6,6.1,7.1,5.8,5.2,10.05,59,No,No,28.7,72.2,1820.7,697.3,Massive Profit,Hit
DIS00006,The Magic the Sea 2,The Magic the Sea,1970,1970-08-20,1970s,Live Action,Drama,Holiday,174,G,English,USA,Byron Howard,John Lasseter,Lin-Manuel Miranda,Ewan McGregor,Kristen Bell,None,Disney Channel Productions,92.4,162.2,87.3,30.0,12.0,97.3,64.9,38.3,8.3,83,84,72,1686,Disney+,1971-04-09,Yes,3,2,1,63,10,No,Dr. Facilier,Mirabel,No,No,No,Yes,Yes,No,No,No,No,Yes,None,Kids,113.8,No,None,No,No,34.3,8.4,7.9,3.5,3.9,13.31,49,No,Yes,35.1,19.5,389.3,44.9,Medium Profit,Average
DIS00007,Kingdom of Dreams 4,Standalone,1963,1963-10-07,1960s,Short Film,Family,Buddy Comedy,164,G,English,USA,Brad Bird,Jason Owen,Michael Giacchino,Idris Elba,Kristen Bell,Stop Motion,Marvel Studios,108.5,348.5,100.2,38.1,36.3,176.2,172.3,152.0,8.0,77,64,72,2624,Disney+,1964-02-28,Yes,2,0,0,73,9,Yes,Hades,Elsa,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Marvel Cinematic Universe,Teen,86.0,No,None,No,No,35.9,8.0,7.2,3.4,3.4,3.99,31,No,No,32.8,38.0,897.4,210.2,Massive Profit,Hit
DIS00008,Alice in Wonderland (Remake),Alice in Wonderland,2009,2009-11-15,2000s,Disney Channel Original,Animation,Buddy Comedy,65,PG-13,Japanese,UK,Lee Unkrich,Kevin Feige,Randy Newman,Ewan McGregor,Kristen Bell,2D,20th Century Studios,85.8,100.8,74.2,26.1,13.1,63.8,37.0,0.5,7.1,56,73,71,2116,Theatrical Only,,No,5,0,0,52,15,No,Gaston,Snow White,Yes,No,Yes,Yes,No,No,No,No,Yes,No,None,Everyone,41.4,No,None,No,No,22.7,6.6,5.7,4.0,1.0,4.05,20,Yes,No,0.0,15.4,143.6,0.5,Low Profit,Average
DIS00009,Hocus Pocus,Hocus Pocus,2014,2014-06-21,2010s,Remake,Fantasy,Road Trip,103,PG,English,USA,Craig Gillespie,Jonas Rivera,Thomas Newman,Chris Pratt,Zoe Saldana,None,Disneytoon Studios,382.6,1380.7,327.7,137.1,219.1,758.2,622.5,197.1,5.5,48,43,56,3044,Disney+,2014-09-21,Yes,0,0,0,28,1,Yes,Dr. Facilier,Cinderella,Yes,No,Yes,No,Yes,No,No,Yes,No,No,None,Family,140.2,No,None,No,No,63.4,5.1,4.5,6.7,7.3,15.87,45,No,Yes,64.6,171.0,1794.9,915.9,Massive Profit,Hit
DIS00010,Tale of Stardust,Standalone,1944,1944-10-04,1940s,Pixar,Animation,Time Travel,154,PG,English,USA,Chris Buck,Kevin Feige,Randy Newman,Tom Holland,Emma Watson,Stop Motion,Pixar Animation Studios,297.7,521.5,263.2,84.4,51.7,175.0,346.5,50.0,7.1,58,63,69,850,Disney+,1945-10-25,Yes,2,1,0,63,0,No,Chernabog,Rapunzel,Yes,No,Yes,No,Yes,No,No,No,No,No,None,Family,152.9,No,None,No,No,50.5,7.0,5.0,6.7,4.7,2.74,61,No,No,28.6,61.9,1590.6,173.9,Medium Profit,Average
DIS00011,Frozen,Frozen,1964,1964-07-03,1960s,Remake,Fantasy,Time Travel,65,PG,English,India,John Musker,Jonas Rivera,Hans Zimmer,Tom Holland,Zoe Saldana,None,Disney Channel Productions,131.3,567.1,124.7,48.1,33.7,239.6,327.5,228.2,7.1,69,60,68,4016,Disney+,1965-06-18,Yes,2,0,0,88,13,No,Judge Frollo,Stitch,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,None,Kids,52.3,No,None,No,No,46.0,7.0,7.0,5.7,5.7,2.95,40,No,Yes,34.7,91.7,1446.1,394.3,Massive Profit,Blockbuster
DIS00012,Kingdom of Wonders,Kingdom of Wonders,2011,2011-09-02,2010s,Disney Channel Original,Family,Buddy Comedy,85,G,English,India,Byron Howard,Jared Bush,Michael Giacchino,Johnny Depp,Lily James,3D CGI,Pixar Animation Studios,125.5,497.0,109.5,26.8,28.0,215.8,281.2,264.6,6.7,45,66,61,3581,Disney+,2012-01-02,Yes,2,1,1,57,6,No,Jafar,Moana,Yes,No,No,Yes,Yes,Yes,No,No,No,No,None,Kids,87.2,No,None,No,No,45.6,6.7,4.6,5.6,4.2,12.03,45,No,No,30.5,41.1,683.4,360.7,Massive Profit,Hit
DIS00013,Kingdom of the Sea: Awakens,Standalone,2023,2023-04-12,2020s,Disney Channel Original,Sci-Fi,Holiday,122,G,English,USA,Rich Moore,Jared Bush,Alan Menken,Chris Pratt,Halle Bailey,Hybrid,Lucasfilm,105.4,330.1,93.8,38.2,26.8,139.2,190.9,150.1,6.4,63,48,61,2396,Disney+,2023-12-06,Yes,3,0,0,40,1,No,None,Aurora,Yes,No,Yes,No,Yes,Yes,No,No,No,No,None,Family,103.1,No,None,No,No,34.0,6.3,6.5,3.1,4.1,10.54,31,No,No,36.4,34.9,354.9,198.1,Massive Profit,Hit
DIS00014,Pocahontas 3,Pocahontas,1982,1982-12-03,1980s,Pixar,Comedy,Coming of Age,190,PG,English,Canada,Rob Marshall,Kevin Feige,James Newton Howard,Josh Gad,Anne Hathaway,3D CGI,Walt Disney Animation Studios,348.6,577.4,310.6,103.5,30.1,245.8,331.6,39.4,7.7,77,77,73,2171,Theatrical Only,,No,2,4,1,58,7,No,Ursula,Pocahontas,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,None,Kids,94.1,No,None,No,No,32.9,7.5,7.0,2.5,3.8,9.12,31,Yes,No,0.0,33.9,1212.5,163.3,Medium Profit,Average
DIS00015,Snow White (Remake),Snow White,2021,2021-11-09,2020s,Remake,Adventure,Superhero,123,PG,Multiple,USA,Marc Webb,Roy Conli,Alan Menken,Ewan McGregor,Kristen Bell,None,Disney Channel Productions,384.1,1466.9,333.2,158.5,182.8,778.6,688.3,198.3,6.2,45,53,60,3015,DisneyNOW,2022-08-10,No,0,0,0,54,7,No,Hans,Mirabel,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,None,Family,173.2,No,None,No,No,59.5,6.6,5.0,5.7,6.2,17.98,50,Yes,No,0.0,98.5,1650.3,975.2,Massive Profit,Hit
